ID,Policy,Source,Category (Safe/Dark)
13,"In relation to collecting the information stated above, parents or legal guardians may at any time change the access to or completely opt-out of these socially interactive features. Any such personally identifiable information that is collected, and the required access to change or opt-out, are specified in the direct notice mails sent to the individual Parent or legal guardian. The only personal information we collect from children under 13 is their email address (to reset their password) and their parents' email address to notify their parents that they have joined the site.",https://moviestarplanet.zendesk.com/hc/en-us/articles/213208965-Privacy-Policy,Dark
14,"We only use the personally identifiable information you provide us to operate, maintain, customize and enhance the features we provide you on the Website. We also use the information to communicate with you for administrative purposes, such as to help you reset your password. Where you have signed up to make purchases of certain products or services offered on the Website using a cell phone, we use the personally identifiable information you provide in order to fulfill those purchases.",https://moviestarplanet.zendesk.com/hc/en-us/articles/213208965-Privacy-Policy,Safe
15,A child's participation in or their ability to access an activity will not be conditioned on them providing more personal information than is reasonably necessary for that activity.,https://moviestarplanet.zendesk.com/hc/en-us/articles/213208965-Privacy-Policy,Dark
16,"We are not in the business of selling personally identifiable information; however, we may disclose information to third parties in the following circumstances: We may disclose information to others who provide services to us in order to operate, maintain and enhance the features of the Website, such as website hosting services providers. Where such service providers receive personally identifiable information in order to furnish services to us, they must agree to privacy terms ostensibly the same as the terms in MovieStarPlanet's Privacy Policy. Furthermore, the use of personally identifiable information is limited to the use needed in order to furnish those services to us. We may disclose information to others if we believe in good faith that the disclosure is necessary to comply with the requirements of applicable laws, to respond to court orders, judicial or regulatory subpoenas and information requests or to otherwise comply with law enforcement. We may disclose information to others if we believe such disclosure is necessary or appropriate to take precautions against liability or to enforce our rights; to protect us and users from unlawful or abusive activity; to investigate and defend ourselves against claims or allegations from third parties; to protect the security or integrity of the Website; or to protect the rights, property or personal safety of MovieStarPlanet, our users or third parties.",https://moviestarplanet.zendesk.com/hc/en-us/articles/213208965-Privacy-Policy,Dark
17,"Users may also choose to disclose personally identifiable information in many interactive areas of the Website if over 13 years of age (See Children Under the Age of 13 years, above). These areas include user's public profile page, chat rooms and the movies users create. Many of these features also connect directly to other third-party services such as YouTube. Disclosing personally identifiable information in this way is against the Rules and users should not do it. The Community Sift Automated Content Management System alerts trained Moderators to possible infringements of this rule and sanctions will be applied to users who attempt to circumvent the filters. Once personally identifiable information is made available, it may be collected and used by any person who has access to this content without restriction. If personal information has been disclosed on YouTube, it may be accessed and used by anybody on the Internet. Please note, that once individuals have disclosed such information in this way, it may be impossible to delete it.",https://moviestarplanet.zendesk.com/hc/en-us/articles/213208965-Privacy-Policy,Dark
18,"The website may contain links to other websites not controlled by MovieStarPlanet. We make no representations or warranties concerning such websites. When individuals use external websites, their use is governed by that site's privacy policies and not by MovieStarPlanet's Privacy Policy. Users should review the privacy policies of each website carefully before providing any information.",https://moviestarplanet.zendesk.com/hc/en-us/articles/213208965-Privacy-Policy,Dark
19,"Change the status on Your Information and Opting Out Upon request, MovieStarPlanet will provide you with information about whether we hold any of your personal information. If your personally identifiable information changes, or if you no longer desire our service, you may correct, update, amend, delete/remove or deactivate it by making the change on our user settings or by emailing our Customer Support at us@moviestarplanet.zendesk.com. We will respond to your request to access within 30 days.",https://moviestarplanet.zendesk.com/hc/en-us/articles/213208965-Privacy-Policy,Dark
20,Please note that collection of certain personally identifiable information may be necessary for your continued use or access to the Website.,https://moviestarplanet.zendesk.com/hc/en-us/articles/213208965-Privacy-Policy,Dark
21,Parents have the right to review personal information collected from their children under 13. The only personal information collected is the child's email and the parental e mail that was used to inform the parents that their child has become a member of MovieStarPlanet.com. If you would like this information to be removed please contact the Customer Support Team on us@moviestarplanet.zendesk.com.,https://moviestarplanet.zendesk.com/hc/en-us/articles/213208965-Privacy-Policy,Dark
22,"In certain situations, MovieStarPlanet may be required to disclose personal data in response to lawful requests by public authorities, including to meet national security or law enforcement requirements.",https://moviestarplanet.zendesk.com/hc/en-us/articles/213208965-Privacy-Policy,Dark
23,"We may also disclose your personal information as required by law, such as to comply with a subpoena or other legal process, when we believe in good faith that disclosure is necessary to protect our rights, protect your safety or the safety of others, investigate fraud, or respond to a government request.",https://moviestarplanet.zendesk.com/hc/en-us/articles/213208965-Privacy-Policy,Dark
24,"In the Event of a Merger or Sale We will not disclose or transfer your personally identifiable information except as described above. However, in the event all or a portion of the business of MovieStarPlanet is sold, either through a sale of assets, a sale of stock, a merger or otherwise, we reserve the right to transfer or assign all or a portion of the information that we have collected in connection with such sale you will be notified via email and/or a prominent notice on our Website of any change in ownership or uses of your personal information, as well as any choices you may have regarding your personal information.",https://moviestarplanet.zendesk.com/hc/en-us/articles/213208965-Privacy-Policy,Dark
25,"We use physical, administrative and technical features designed to increase the security and integrity of our systems used to store personally identifiable information. We cannot, however, guarantee the security of any information transmitted to MovieStarPlanet, nor can we guarantee that any such information may not be accessed, altered or destroyed by a breach, circumvention, failure or interruption of any of our physical, technical or administrative safeguards.",https://moviestarplanet.zendesk.com/hc/en-us/articles/213208965-Privacy-Policy,Dark
26,"When you enter sensitive information (such as a credit card number) on our order forms, we encrypt the transmission of that information using secure socket layer technology (SSL).",https://moviestarplanet.zendesk.com/hc/en-us/articles/213208965-Privacy-Policy,Safe
27,"If you choose to use our referral service to invite a friend to our site, we will ask you for your friend's email address. We will automatically send your friend a one-time email inviting him or her to visit the site. MovieStarPlanet ApS stores this information for the sole purpose of sending this one-time email and tracking the success of our referral program.",https://moviestarplanet.zendesk.com/hc/en-us/articles/213208965-Privacy-Policy,Dark
28,"Personal Data necessary to register for our Services, namely your email address and password, and to take advantage of our paid services, your bank details;You may also choose to provide us with additional information such as your gender, first name, last name, profile picture and address. However, unlike the aforementioned information, this additional information is not mandatory in order to validate your subscription to the Services. Nevertheless, they allow us to personalize our relationship;The Personal Data that you provide to us in order to contact us, in particular via the online contact form, such as your email address, the content of your request and any attachments provided, your telephone number, etc. We may ask you for additional information when you report a problem with our Services to resolve the issue; The IP address, device model, browser, and language of the device you use to connect to the Services; A copy of the correspondence (including by email) that you are likely to send us;If necessary, your e-mail address in order to subscribe to our newsletters. If you do not want to receive marketing emails, follow the unsubscribe instructions included in each email sent. We will then remove you from our mailing list;If applicable, your responses to surveys that we invite you to participate, as well as the content of your publications on our Site. This information may be used for research and analysis of user behavior to improve our Services; Where applicable, the Personal Data that you provide to us in order to participate in a contest or one of our sponsored promotions, in order to validate your registration; The details of the transactions you conduct through our services and orders you send via our services. The details of your visits to the Site and related to the use of the Services, including but not limited to traffic data, location data, resources accessed, weblogs and other communication data if necessary for our own billing purposes. Time spent on the Services, including the list of meditation sessions viewed and your preferences; Information from your Facebook profile if you choose to connect to our services through Facebook.",https://www.petitbambou.com/en/privacy,Dark
29,"When you connect to our Services via your Facebook account, we collect your email, name, surname, gender, and your Facebook ID, as entered by you when creating your Facebook account. We will also have access to some of your Facebook account data in accordance with the terms and conditions of use of the social network concerned.",https://www.petitbambou.com/en/privacy,Safe
30,"Log files allow us to record your use of the Services. Our technical team collects the file log information of all our users, which we use to make improvements to our Services and inform us about how users use the Services (eg number of meditation sessions performed, meditation time , history of meditations, etc.). This information is published on your user account.",https://www.petitbambou.com/en/privacy,Safe
31,"If you receive an html version of our newsletters, we will be notified of your opening of the e-mail newsletter and we will save this information. Your clicks on the links in the newsletter are also saved. These and opening statistics are used in aggregate form to give us an indication of the popularity of the content and to help us make decisions about the content and its formatting in the future.",https://www.petitbambou.com/en/privacy,Safe
32,"Subject to applicable law, during each of your visits we may collect information related to the devices on which you use our Services or the networks from which you access our Services, such as your IP addresses, connection data, types and versions of internet browsers used, operating systems and platforms, data about your navigation on our Site and our Apps, download errors, content you access or views, advertising ID of your device etc.",https://www.petitbambou.com/en/privacy,Dark
33,"When we provide Services, we want to make them easy to use, simple, convenient, useful and reliable. We use several cookie categories for this purpose: Absolutely necessary cookies, in order to allow you to move on the Site and the Apps and to use their basic functionalities. These cookies are essential for the use of our Services; Security cookies ; With your consent, authentication cookies, which exempt you from having to provide your username and password each time you connect to our Services; With your consent, cookies for personalization of the user interface : these cookies make it possible to memorize the preferences of a user (first name, linguistic preference for example);With your consent, analytics and performance cookies that allow us to recognize and count the number of visitors to our Site and Apps and to collect information on how they are used. This allows us to improve the way our Site and our Apps work as well as more generally the content of our Services. These cookies also allow us to measure the effectiveness of our marketing efforts;With your consent, sharing cookies on social networks : when you share content from our Services on a social network, via a share button, a cookie will be deposited on your device if you have accepted this type of tracking. As long as you have not clicked the share button, then clicked a second time on the desired social network, no cookie will be placed on your device.",https://www.petitbambou.com/en/privacy,Dark
34,"With your consent, advertising or targeting cookies to record your visit to our site, as well as the pages you have viewed and the links you have followed. This information allows us to display relevant ads based on your interests, limit the number of times the ad is displayed, and help measure the effectiveness of ad campaigns. They may be shared with third parties, such as advertisers, advertising agencies or management agencies.",https://www.petitbambou.com/en/privacy,Dark
35,"The third parties we use to know your use of our Services or for marketing purposes may use cookies, which we do not control.",https://www.petitbambou.com/en/privacy,Dark
36,"This Site uses, in particular, Facebook Analytics and Google Analytics. For example, Google Analytics installs cookies to help us accurately estimate the number of visitors to the Site and the usage volumes of the Services to ensure that Services are available whenever you want and that your experience is fast enough. For more information on how Google Analytics processes this information, visit www.google.com/analytics.",https://www.petitbambou.com/en/privacy,Safe
37,"We also use the services of Google Adwords and Facebook Ads as part of our marketing efforts. These services may install cookies on your device.;We do not control how these third parties use these cookies, nor how long they keep them. We invite you to review the privacy policies of these third-party sites for more information on this topic.",https://www.petitbambou.com/en/privacy,Dark
38,"During your first visit to the Site or the Apps, we give you access to this policy and ask you to make a choice as to whether to accept or refuse the use of third-party cookies to measure the audience. our Site and the performance of our online marketing efforts.",https://www.petitbambou.com/en/privacy,Dark
39,"If you choose not to accept the cookie, it will not affect your access to most of the content and materials available through our services.",https://www.petitbambou.com/en/privacy,Safe
40,"We proceed to the processing of your Personal Data for the following purposes, which are justified by the performance of our contractual obligations and the satisfaction of your requests, which constitutes the legal basis of the processing concerned: allow you to access our Services and provide you with the requested information and Services (including gift cards); provide you with customer support; collect your payments; inform you of changes to our Services; enable you to use the interactive features of our Services if you wish; provide you with a history of the meditations carried out by them as well as statistical information on your use of our Services; send you messages by email related to the use of our Services or coaching/counseling to assist you in your practice of meditation and motivate you; Analyze the messages you have exchanged with other members of our community via the Site or the Apps to ensure that our terms and conditions are respected.",https://www.petitbambou.com/en/privacy,Safe
41,"The processing of your Personal Data is also in other cases justified by our legitimate interest which then constitutes the legal basis of the treatment in the following cases: improve and optimize our Site and our Apps, in particular to ensure that the display of our content is adapted to your computer or other device; manage our Site and Apps and perform in-house technical troubleshooting, data analysis, testing, research, analysis, studies and surveys to ensure the security of our Site and Apps and improve its features ); perform statistics on your use of our Services to provide you with content tailored to your needs and to improve our Services; send you by email or SMS, in accordance with the applicable legal provisions, messages concerning services similar to those you have used or send you occasional special offers about them in order to promote our Services; manage notices, incidents, claims and litigation to enable us to ascertain, exercise or defend our rights in court; measure the performance of our marketing efforts for the development and sustainability of our activities.",https://www.petitbambou.com/en/privacy,Safe
42,"Your Personal Data is also processed to enable us to respond to your requests for rights of access, rectification and opposition, or your other rights with respect to Personal Data. This treatment is then based on the respect of our legal obligations.",https://www.petitbambou.com/en/privacy,Safe
43,"Finally, the processing related to certain cookies (see point 2 above) or related to the receipt by email or SMS of information from third parties are based on your consent. You can then withdraw it at any time while it is the only legal basis applicable.",https://www.petitbambou.com/en/privacy,Dark
44,Personal Data is processed internally by duly authorised people within the limits of their respective duties.,https://www.petitbambou.com/en/privacy,Safe
45,"They are also likely to be communicated to the following external recipients: financial institutions that are account holders; competent administrative and judicial authorities, such as the tax authorities, to enable FeelVeryBien to fulfill its legal obligations in the matter, to apply or enforce its agreements with you, or to protect the rights, property or safety of FeelVeryBien, our customers and all third parties; paralegals and departmental officers as part of their debt collection duties; any member of our group, including our subsidiaries, our holding company and its subsidiaries, to the extent strictly necessary and subject to the existence of contractual guarantees to ensure the security and confidentiality of the data;subcontractors (including IT service providers) and external service providers (such as auditors, legal advisers, trustees, analytical solution or payment service providers, companies and organizations specializing in fraud protection and risk reduction unpaid, etc.), to the extent necessary and subject to the existence of contractual safeguards to ensure the security and confidentiality of the data;When you make an express request (for example, when you use the authentication methods provided by social networks or subscribe to a service provided by one of our partners, such as Apple Health), we may be required to disclose your Personal Data. to this partner so that he can provide you with the requested service or information. It is the responsibility of the third party you authorise to receive your data to protect such information in accordance with applicable law, and to use it only to provide the services or information you have requested. In the event that we consider selling or buying an activity or assets, we may be required, to the extent strictly necessary, to disclose your Personal Data to the seller or potential buyer of such business or assets ; If FeelVeryBien or substantially all of our assets are acquired by a third party, the Personal Data that we hold about you will be transferred to that buyer.",https://www.petitbambou.com/en/privacy,Dark
46,"The Personal Data collected by FeelVeryBien are processed by it, as data controller, in compliance with the applicable data protection legislation (ie in particular Regulation (EU) 2016/679 of the European Parliament and of the Council of 27 April 2016, - the GDPR -, as well as any subsequent regulations).",https://www.petitbambou.com/en/privacy,Safe
47,"FeelVeryBien undertakes to implement the technical and organizational security measures to ensure the protection of Personal Data against the risks associated with the use of information systems, including unauthorised access to such information. Except in case of disclosure of your Personal Data as described in point 4 above, we do not provide your Personal Data to a third party without your express consent.",https://www.petitbambou.com/en/privacy,Dark
48,"All information that you provide to us through our services is stored on our secure servers located in France. All payment transactions will be encrypted using SSL technology. When we have given you (or if you have chosen) a password that allows you to access certain parts of the services, you are responsible for maintaining this password confidential. We ask you not to share a password with anyone. Unfortunately, transmitting information via the Internet is not completely secure. Although we do our best to protect your personal information, we cannot guarantee the security of your information transmitted to the services; any transmission is at your own risk.",https://www.petitbambou.com/en/privacy,Dark
49,"Your Personal Data is retained for a period of 10 years from the closing of your account or your last use of our Services if you have not closed your account, which corresponds to the applicable limitation period. This period may be extended beyond the duration of the judicial or administrative proceedings in progress, as the case may be.",https://www.petitbambou.com/en/privacy,Dark
50,"However, upon closing of your account or after a period of two (2) years from your last use of our Services if you have not closed your account, your Personal Data is simply stored for archival purposes. secure to meet our legal obligations or, if necessary, allow us to defend ourselves in court. They are not communicated to third parties or used otherwise.",https://www.petitbambou.com/en/privacy,Dark
51,"You have the right to obtain, free of charge: access to Personal Data about you and their rectification; confirmation as to whether or not data related to him or her are being processed; information at least as to the purposes of the processing operation, the categories of data concerned, and the recipients or categories of recipients to whom the data are disclosed; communication, in an intelligible form, containing personal data undergoing processing, and any available information pertaining the data source;You also have the following rights, within the limits provided by the applicable rules and subject to the proof of your identity: request the deletion of all or part of the data or a limitation of the treatment; oppose the processing of your data; make use of your right to the portability of Personal Data.",https://www.petitbambou.com/en/privacy,Safe
52,You may access your Personal Data and modify it at any time via your online account.,https://www.petitbambou.com/en/privacy,Dark
53,"You also have the option to lodge a complaint in the event of a breach of the rules applicable to the protection of personal data, before a supervisory authority such as the French National Commission for Data Protection (CNPD).",https://www.petitbambou.com/en/privacy,Safe
54,You have the right to ask us not to use your personal information for marketing purposes to send you information about our own services. You may exercise your right to prevent such processing by following the opt-out instructions in the marketing material you receive or by contacting us at any time by email help@petitbambou.com.,https://www.petitbambou.com/en/privacy,Dark
55,"The Services may, from time to time, contain links to the websites of our partner, advertisers and affiliate networks. If you follow a link to one of these sites, please note that these sites have their own privacy policies and that we are not responsible for the use made by these sites of the information collected when you click on these links. Please read these sites' privacy policies before sending them your Personal Data.",https://www.petitbambou.com/en/privacy,Dark
56,"The Services are designed for people aged 18 and over. Children between the ages of 13 and 18 (or the age of majority in their country of residence) who are not emancipated (""minors"") may use the Services, but the use by minors must be made only under the supervision, control and with the consent of their legal representatives. We rely on parents and guardians to ensure that minors use the services by understanding their rights and responsibilities as set forth in the Terms of Use and Sale applicable to the Services (the ""Terms""). If you are a legal representative of a minor and you consent to the use of the Services by the child you are legally responsible for, you agree to be bound by this Privacy Policy and the Terms. Children under the age of 13 are not allowed to use our services. If you are under the age of 13, please do not attempt to access or use the Services. If you believe we have been able to collect personal information from a child under the age of 13, please let us know at help@petitbambou.com so we can remove this information.",https://www.petitbambou.com/en/privacy,Dark
57,"Changes to our privacy policy FeelVeryBien reserves the right to modify or update this Privacy Policy, or any of our policies or practices, at any time, and to notify users of the Services by posting the modified or updated Privacy Policy on this page. Any changes will take effect immediately after this publication. Your continued use of the Services constitutes your agreement to comply with the Privacy Policy as amended. In certain circumstances (for example, if we wish to use your Personal Data for purposes other than those stated in our privacy policy at the time of collection), when necessary, we will notify you personally and / or seek your consent.",https://www.petitbambou.com/en/privacy,Safe
58,The app does not actively collect any information from children.,https://my-town.com/privacy-policy/,Safe
59,It does collect technical information which does not specifically identify a user but supports the operation of the app.,https://my-town.com/privacy-policy/,Safe
60,"device_type,mobile_brand_name,mobile_model_name,platform_version,device_id,country,session,page views We work with the following third parties in this app: We use Firebase Analytics for database and statistics. We collect this information for internal use only and it can't be used to identify a user. This third party is prohibited from sharing any data. For more information please review the Firebase privacy policy here: https://firebase.google.com/support/privacy/We use Unity as a game engine. Unity does not collect any user data. For more information on Unity, please review their privacy policy here: https://unity3d.com/legal/privacy-policyWe may make changes to the policy from time to time so please be sure to check regularly. If we make a material change to this policy and we have your contact details we will contact you before we make the change.",https://my-town.com/privacy-policy/,Dark
61,"We understand the importance of our users' personal information, and more importantly the information pertaining to children under 13 years of age. We do not collect or require users to enter their personal information when using our Products. We do not collect any personal information from children with our apps.",https://my-town.com/privacy-policy/,Dark
62,"We may receive your non-personal data indirectly from the following third party analytics or advertisers providers. These third parties do not share your user data; they are used to support the operation of our apps and they are all COPPA compliance. (respective privacy policies are noted below): Google analytics Unity Back4app Google Admob Kidoz Superawesome IronsrcWe may use the below third party attribution platform to record installs of our apps in relation to the parent experience, as well as to track in-app events in the parent's section of our apps (privacy policy noted below): AppsflyerDo We Use Cookies? We use cookies in order to allow your child to log-in to our game when he uses the web interface. A cookie is a small file stored on your computer which may be later also used to identify him. We may also allow several third parties to place cookies. In that case, these cookies may be used to identify your child in their services as well. These third parties include : Google Analytics.",https://my-town.com/privacy-policy/,Dark
63,"We collect information when a user play the game or makes purchases All this information is collected and stored on our Firebase database and transferred via secure socket layer (SSL). We use encryption to make sure that third parties cannot listen on the conversation between your mobile device and our servers, and to ensure that information is sent only to our servers, in order to minimize the chance of a malicious entity that might want to impersonate our server.",https://my-town.com/privacy-policy/,Dark
64,"You can always send us a message at privacy@my-town.com and request that we send you a copy of all your personal data. when doing so, we will first verify your identity, and thereafter we shall provide you with a copy of some information. Please note that if we are unable to verify your identity, we may choose to delete all information in lieu of sending a copy, and that is to increase security.",https://my-town.com/privacy-policy/,Dark
65,"You can send us a message atprivacy@my-town.com and request that we amend, delete or cease processing of personal data. We will honor these requests and do so, while retaining only the information we need to enforce our legal rightsWho Can You Contact? If you feel your privacy was violated, send us an email to our privacy officer, at privacy@my-town.com or +9725255559684 and Our officer shall respond and investigate these complaints. He will also publish periodic reports if a specific issue shall arise.",https://my-town.com/privacy-policy/,Dark
66,"You have the right to request that we do not sell any of your PD. We only sell your PD under the following circumstances. If our business is sold or merges in whole or in part with another business that would become responsible for providing the website to you, we retain the right to transfer your PD to the new business. The new business would retain the right to use your PD according to the terms of this privacy notice as well as to any changes to this privacy notice as instituted by the new business. We also retain the right to transfer your PD if our company files for bankruptcy and some or all of our assets are sold to another individual or business.",https://bimiboo.com/privacy-policy/,Dark
67,"If you never want your PD sold or transferred, under any circumstances, you can make such a request by emailing us at: privacy@bimiboo.com telling us that you do not want to have any of your PD sold. Please include enough personal information so that we can reasonably verify your identification. We will respond to your request within 60 days after receiving it.",https://bimiboo.com/privacy-policy/,Dark
68,"When using our Platform and submitting PD to us, you may have certain rights under the GDPR if you reside or are in any of the countries of the European Union. Depending on the legal basis for processing your PD you may have some or all of the following rights: The Right to Be Informed - You have the right to be informed about the PD that we collect from you and how we process them. The Right of Access - You have the right to get confirmation that your PD are being processed and you have the ability to access your PD. The Right to Rectification - You have the right to have your PD corrected if they are inaccurate or incomplete. The Right to Erasure (Right to Be Forgotten) - You have the right to request the removal or deletion of your PD if there is no compelling reason for us to continue processing them.",https://bimiboo.com/privacy-policy/,Dark
69,"You have the right to 'block' or restrict the processing of your PD. When your PD are restricted, we are permitted to store your data, but not to process them further.",https://bimiboo.com/privacy-policy/,Safe
70,"You have the right to request your PD that you provided to us and use them for your own purposes. We will provide your data to you within 30 days of your request. Contact us using the information at the top of this privacy policy to request your PD. The Right to Object - You have the right to object to us processing your PD for the following reasons: Processing was based on legitimate interests or the performance of a task in the public interest/exercise of official authority (including profiling) Direct marketing (including profiling) Processing for purposes of scientific/historical research and statistics Rights in relation to automated decision-making and profiling. Automated Individual Decision-Making and Profiling - You have the right not to be subject to a decision based solely on automated processing, including profiling, which produces legal effects regarding you or similarly significantly affects you. Filing a Complaint with Authorities - You have the right to file a complaint with supervisory authorities if your information has not been processed in compliance with the General Data ProtectionRegulation. If the supervisory authorities fail to address your complaint properly, you may have the right to a judicial remedy.",https://bimiboo.com/privacy-policy/,Dark
71,"As a Californian consumer you have certain rights under the California Consumer Privacy Act (CaCPA) AB 375, some of these rights are: The right of Californians to know what personal information is being collected about them The right of Californians to know whether their personal information is sold or disclosed and to whom The right of Californians to say no to the sale of their personal information The right of Californians to access their personal informationThe right to data portability. You have the right to request your personal information that you provided to us and use them for your own purposes. We will provide your data to you within 30 days of your request. Contact us using the information at the top of this privacy policy to request your personal information. The right of Californians of the deletion of their personal information The right of Californians of equal service, price, and not being discriminated against even if they exercise their privacy rights One or more designated means for Californian consumers to submit requests under the CACPA including (at minimum) a toll-free number, and if the business maintains an Internet website, a website address. These rights include the right to request what personal information we collect and disclose about consumersPersonal information includes: Categories of personal information that a business collected about the consumer Categories of sources from which the personal information was collected Specific pieces of personal information that the business has collected about consumers Categories of third parties with whom the business shares personal information The business or commercial purpose of collecting or selling personal informationInformation we collect and how we collect it Generally, you control the amount and type of information that you provide to us when using our Platform. Our mobile apps do not include third-party analytics or third-party advertising. Also, our mobile apps do not send personally identifiable information or device information to third parties.",https://bimiboo.com/privacy-policy/,Dark
